Unnamed: 0,id,text,Hashtags,date,follower_count
246,1393302696032079880,Dvd screensaver nouvel easter egg #Google,"[{'text': 'Google', 'indices': [36, 43]}]",2021-05-14 20:30:23,1278
247,1393302629770534912,MATIC #Polygon #Google #VISA #Crypto,"[{'text': 'Polygon', 'indices': [31, 39]}, {'text': 'Google', 'indices': [40, 47]}, {'text': 'VISA', 'indices': [48, 53]}, {'text': 'Crypto', 'indices': [54, 61]}]",2021-05-14 20:30:07,192
248,1393302611395158016,New Google Pixel and Pixel Pro leaks have skeptical but excited Read more #technology,"[{'text': 'technology', 'indices': [125, 136]}]",2021-05-14 20:30:03,2
249,1393302469732540417,What gRPC #grpc #rpc #protobuf #rest #api #google #cplusplus #java #dev #web #programming #python #java #php,"[{'text': 'grpc', 'indices': [39, 44]}, {'text': 'rpc', 'indices': [45, 49]}, {'text': 'protobuf', 'indices': [50, 59]}, {'text': 'rest', 'indices': [60, 65]}, {'text': 'api', 'indices': [66, 70]}, {'text': 'google', 'indices': [71, 78]}, {'text': 'cplusplus', 'indices': [79, 89]}, {'text': 'java', 'indices': [90, 95]}, {'text': 'dev', 'indices': [96, 100]}, {'text': 'web', 'indices': [101, 105]}, {'text': 'programming', 'indices': [106, 118]}, {'text': 'python', 'indices': [119, 126]}, {'text': 'java', 'indices': [127, 132]}, {'text': 'php', 'indices': [133, 137]}]",2021-05-14 20:29:29,1510
250,1393302353546289161,Using the Android Google Jamboard App #YouTube #eduk #jamboard #google,"[{'text': 'YouTube', 'indices': [38, 46]}, {'text': 'eduk8me', 'indices': [47, 55]}, {'text': 'jamboard', 'indices': [56, 65]}, {'text': 'google', 'indices': [66, 73]}]",2021-05-14 20:29:02,13521
251,1393302352891944960,Using the Android Google Jamboard App #YouTube #eduk #jamboard #google,"[{'text': 'YouTube', 'indices': [38, 46]}, {'text': 'eduk8me', 'indices': [47, 55]}, {'text': 'jamboard', 'indices': [56, 65]}, {'text': 'google', 'indices': [66, 73]}]",2021-05-14 20:29:01,7597
252,1393302342838140931,Chill Zone Alert You asked for them and they coming Glad see taking interest,[],2021-05-14 20:28:59,80
253,1393302333535268869,When you want experienced mobile #locksmith your side call offer locksmith services for commercial,"[{'text': 'locksmith', 'indices': [36, 46]}]",2021-05-14 20:28:57,50
254,1393302220922363904,What gRPC #grpc #rpc #protobuf #rest #api #google #cplusplus #java #dev #web #programming #python #java #php,"[{'text': 'grpc', 'indices': [39, 44]}, {'text': 'rpc', 'indices': [45, 49]}, {'text': 'protobuf', 'indices': [50, 59]}, {'text': 'rest', 'indices': [60, 65]}, {'text': 'api', 'indices': [66, 70]}, {'text': 'google', 'indices': [71, 78]}, {'text': 'cplusplus', 'indices': [79, 89]}, {'text': 'java', 'indices': [90, 95]}, {'text': 'dev', 'indices': [96, 100]}, {'text': 'web', 'indices': [101, 105]}, {'text': 'programming', 'indices': [106, 118]}, {'text': 'python', 'indices': [119, 126]}, {'text': 'java', 'indices': [127, 132]}, {'text': 'php', 'indices': [133, 137]}]",2021-05-14 20:28:30,357
255,1393302207395680256,Chill Zone Alert You asked for them and they coming Glad see taking interest,[],2021-05-14 20:28:27,3941
